,Unnamed: 0,timestamp,mx,my,mz,mAc
243,123.0,17300.0,69.72,4.73,0.83,ACCURACY_BAD
244,124.0,17400.0,68.33,1.67,1.19,ACCURACY_BAD
245,125.0,17500.0,66.9,-3.24,-1.01,ACCURACY_BAD
246,126.0,17600.0,64.13,-11.09,-1.5,ACCURACY_BAD
247,127.0,17700.0,63.41,-13.97,-3.83,ACCURACY_BAD
248,128.0,17800.0,64.86,-9.84,-5.27,ACCURACY_BAD
249,129.0,17900.0,64.86,-10.97,-4.25,ACCURACY_BAD
250,125.0,17500.0,66.9,-3.24,-1.01,ACCURACY_BAD
251,126.0,17600.0,64.13,-11.09,-1.5,ACCURACY_BAD
252,127.0,17700.0,63.41,-13.97,-3.83,ACCURACY_BAD
253,128.0,17800.0,64.86,-9.84,-5.27,ACCURACY_BAD
254,129.0,17900.0,64.86,-10.97,-4.25,ACCURACY_BAD
255,130.0,18000.0,62.03,-10.97,-4.25,ACCURACY_BAD
256,131.0,18100.0,62.03,-13.55,-3.0,ACCURACY_BAD
257,132.0,18200.0,62.03,-10.97,-4.25,ACCURACY_BAD
258,133.0,18300.0,62.75,-12.23,-4.67,ACCURACY_BAD
259,134.0,18400.0,65.51,-7.01,-5.09,ACCURACY_BAD
260,130.0,18000.0,62.03,-10.97,-4.25,ACCURACY_BAD
261,131.0,18100.0,62.03,-13.55,-3.0,ACCURACY_BAD
262,132.0,18200.0,62.03,-10.97,-4.25,ACCURACY_BAD
263,133.0,18300.0,62.75,-12.23,-4.67,ACCURACY_BAD
264,134.0,18400.0,65.51,-7.01,-5.09,ACCURACY_BAD
265,135.0,18500.0,66.23,-1.31,-2.46,ACCURACY_BAD
266,136.0,18600.0,68.33,3.83,-2.93,ACCURACY_BAD
267,137.0,18700.0,69.72,4.44,-2.75,ACCURACY_BAD
268,138.0,18800.0,71.09,3.35,-3.77,ACCURACY_BAD
269,139.0,18900.0,72.47,2.7,-4.01,ACCURACY_BAD
270,135.0,18500.0,66.23,-1.31,-2.46,ACCURACY_BAD
271,136.0,18600.0,68.33,3.83,-2.93,ACCURACY_BAD
272,137.0,18700.0,69.72,4.44,-2.75,ACCURACY_BAD
273,138.0,18800.0,71.09,3.35,-3.77,ACCURACY_BAD
274,139.0,18900.0,72.47,2.7,-4.01,ACCURACY_BAD
