,timestamp,mx,my,mz,mAc
213,26300.0,67.61,-10.13,-22.37,ACCURACY_BAD
214,26400.0,70.43,-10.13,-22.37,ACCURACY_BAD
215,26500.0,72.47,-6.17,-21.11,ACCURACY_BAD
216,26600.0,75.29,-8.81,-21.95,ACCURACY_BAD
217,26700.0,75.29,-11.39,-20.69,ACCURACY_BAD
218,26800.0,75.29,-17.57,-21.95,ACCURACY_BAD
219,26900.0,71.09,-26.21,-17.69,ACCURACY_BAD
220,27000.0,70.43,-32.34,-14.69,ACCURACY_BAD
221,27100.0,69.0,-36.36,-9.0,ACCURACY_BAD
222,27200.0,64.86,-41.34,-4.98,ACCURACY_BAD
223,27300.0,61.31,-43.07,-1.91,ACCURACY_BAD
224,27400.0,59.27,-41.81,3.35,ACCURACY_BAD
225,27500.0,55.73,-40.25,7.44,ACCURACY_BAD
226,27600.0,52.25,-39.29,13.43,ACCURACY_BAD
227,27700.0,51.59,-38.57,15.71,ACCURACY_BAD
228,27800.0,55.07,-39.23,17.69,ACCURACY_BAD
229,27900.0,57.18,-39.0,19.19,ACCURACY_BAD
230,28000.0,59.93,-40.02,22.43,ACCURACY_BAD
231,28100.0,60.65,-41.34,21.95,ACCURACY_BAD
232,28200.0,65.51,-41.39,17.69,ACCURACY_BAD
233,28300.0,66.9,-39.36,20.45,ACCURACY_BAD
234,28400.0,69.0,-36.95,24.11,ACCURACY_BAD
235,28500.0,71.81,-35.81,25.19,ACCURACY_BAD
236,28600.0,71.81,-33.84,25.79,ACCURACY_BAD
237,28700.0,71.09,-31.85,26.45,ACCURACY_BAD
238,28800.0,67.61,-30.42,24.05,ACCURACY_BAD
239,28900.0,65.51,-30.53,26.87,ACCURACY_BAD
240,29000.0,63.41,-29.39,30.11,ACCURACY_BAD
241,29100.0,63.41,-29.15,29.45,ACCURACY_BAD
242,29200.0,62.75,-28.79,28.19,ACCURACY_BAD
243,29300.0,59.93,-28.97,30.95,ACCURACY_BAD
244,29400.0,58.55,-30.23,32.63,ACCURACY_BAD
245,29500.0,57.84,-28.68,36.77,ACCURACY_BAD
246,29600.0,60.65,-28.61,38.87,ACCURACY_BAD
247,29700.0,62.75,-27.71,38.45,ACCURACY_BAD
248,29800.0,62.75,-31.26,35.93,ACCURACY_BAD
249,29900.0,66.23,-30.17,36.95,ACCURACY_BAD
250,30000.0,66.9,-30.65,36.11,ACCURACY_BAD
251,30100.0,67.61,-28.68,34.61,ACCURACY_BAD
252,30200.0,71.09,-29.09,33.77,ACCURACY_BAD
253,30300.0,71.09,-28.92,35.21,ACCURACY_BAD
254,30400.0,69.0,-29.09,33.77,ACCURACY_BAD
255,30500.0,69.0,-30.65,33.95,ACCURACY_BAD
256,30600.0,69.0,-31.97,35.7,ACCURACY_BAD
257,30700.0,66.23,-32.81,38.27,ACCURACY_BAD
258,30800.0,62.75,-33.18,39.54,ACCURACY_BAD
259,30900.0,58.55,-32.7,42.47,ACCURACY_BAD
260,31000.0,56.45,-30.53,42.54,ACCURACY_BAD
261,31100.0,55.73,-29.63,44.21,ACCURACY_BAD
262,31200.0,54.36,-29.39,45.71,ACCURACY_BAD
263,31300.0,55.73,-30.95,45.95,ACCURACY_BAD
264,31400.0,59.93,-30.71,45.29,ACCURACY_BAD
265,31500.0,62.75,-31.43,42.95,ACCURACY_BAD
266,31600.0,68.33,-34.02,42.05,ACCURACY_BAD
267,31700.0,70.43,-31.01,39.54,ACCURACY_BAD
268,31800.0,72.47,-32.81,38.27,ACCURACY_BAD
269,31900.0,70.43,-30.84,36.71,ACCURACY_BAD
270,32000.0,70.43,-31.92,39.95,ACCURACY_BAD
271,32100.0,68.33,-31.85,37.79,ACCURACY_BAD
272,32200.0,66.23,-31.67,39.29,ACCURACY_BAD
273,32300.0,64.86,-30.29,43.97,ACCURACY_BAD
274,32400.0,63.41,-30.95,43.79,ACCURACY_BAD
275,32500.0,59.27,-26.09,44.63,ACCURACY_BAD
276,32600.0,59.93,-24.35,45.89,ACCURACY_BAD
